startdate,enddate,ticker
30-09-2019,31-12-2019,SRSLTD.NS
30-09-2019,31-12-2019,STINDIA.NS
30-09-2019,31-12-2019,TECHNOFAB.NS
30-09-2019,31-12-2019,UNITECH.NS
31-12-2019,31-03-2020,AARVEEDEN.NS
31-12-2019,31-03-2020,AHLEAST.NS
31-12-2019,31-03-2020,ALCHEM.NS
31-12-2019,31-03-2020,ALMONDZ.NS
31-12-2019,31-03-2020,ANSALAPI.NS
31-12-2019,31-03-2020,ANTGRAPHIC.NS
31-12-2019,31-03-2020,ASHIMASYN.NS
31-12-2019,31-03-2020,ASPINWALL.NS
31-12-2019,31-03-2020,BFUTILITIE.NS
31-12-2019,31-03-2020,BHARATGEAR.NS
31-12-2019,31-03-2020,BINANIIND.NS
31-12-2019,31-03-2020,CASTEXTECH.NS
31-12-2019,31-03-2020,CENTURYPLY.NS
31-12-2019,31-03-2020,CHROMATIC.NS
31-12-2019,31-03-2020,DBREALTY.NS
31-12-2019,31-03-2020,DLF.NS
31-12-2019,31-03-2020,DQE.NS
31-12-2019,31-03-2020,ENERGYDEV.NS
31-12-2019,31-03-2020,EROSMEDIA.NS
31-12-2019,31-03-2020,EXIDEIND.NS
31-12-2019,31-03-2020,GARDENSILK.NS
31-12-2019,31-03-2020,GATI.NS
31-12-2019,31-03-2020,GOENKA.NS
31-12-2019,31-03-2020,GOKEX.NS
31-12-2019,31-03-2020,HARRMALAYA.NS
31-12-2019,31-03-2020,HINDNATGLS.NS
31-12-2019,31-03-2020,IFCI.NS
31-12-2019,31-03-2020,IIFL.NS
31-12-2019,31-03-2020,ITDC.NS
31-12-2019,31-03-2020,JAYNECOIND.NS
31-12-2019,31-03-2020,JMA.NS
31-12-2019,31-03-2020,KANANIIND.NS
31-12-2019,31-03-2020,KAVVERITEL.NS
31-12-2019,31-03-2020,KECL.NS
31-12-2019,31-03-2020,KERNEX.NS
31-12-2019,31-03-2020,KIRLOSENG.NS
31-12-2019,31-03-2020,KWALITY.NS
31-12-2019,31-03-2020,LAKSHVILAS.NS
31-12-2019,31-03-2020,LOVABLE.NS
31-12-2019,31-03-2020,MADHAV.NS
31-12-2019,31-03-2020,MAHINDCIE.NS
31-12-2019,31-03-2020,MAHSEAMLES.NS
31-12-2019,31-03-2020,MANAKCOAT.NS
31-12-2019,31-03-2020,MCDHOLDING.NS
31-12-2019,31-03-2020,METALFORGE.NS
31-12-2019,31-03-2020,MFSL.NS
31-12-2019,31-03-2020,MMTC.NS
31-12-2019,31-03-2020,MSPL.NS
31-12-2019,31-03-2020,NHPC.NS
31-12-2019,31-03-2020,NIACL.NS
31-12-2019,31-03-2020,OMKARCHEM.NS
31-12-2019,31-03-2020,OMMETALS.NS
31-12-2019,31-03-2020,PATINTLOG.NS
31-12-2019,31-03-2020,PDSMFL.NS
31-12-2019,31-03-2020,PFOCUS.NS
31-12-2019,31-03-2020,PSL.NS
31-12-2019,31-03-2020,RAIN.NS
31-12-2019,31-03-2020,RMCL.NS
31-12-2019,31-03-2020,RNAVAL.NS
31-12-2019,31-03-2020,SADBHAV.NS
31-12-2019,31-03-2020,SANGHVIFOR.NS
31-12-2019,31-03-2020,SELMCL.NS
31-12-2019,31-03-2020,SHIVAMAUTO.NS
31-12-2019,31-03-2020,SKFINDIA.NS
31-12-2019,31-03-2020,SKMEGGPROD.NS
31-12-2019,31-03-2020,TECHNOFAB.NS
31-12-2019,31-03-2020,TIDEWATER.NS
31-12-2019,31-03-2020,UNITECH.NS
31-12-2019,31-03-2020,UNIVCABLES.NS
31-12-2019,31-03-2020,VESUVIUS.NS
31-12-2019,31-03-2020,VINDHYATEL.NS
