startdate,enddate,ticker,changelist
31-12-2019,31-03-2020,METALFORGE.NS,57.534242459277785
31-12-2019,31-03-2020,MFSL.NS,26.559620626007185
31-12-2019,31-03-2020,MMTC.NS,34.93975497540325
31-12-2019,31-03-2020,MSPL.NS,93.82714901078076
31-12-2019,31-03-2020,NHPC.NS,3.5897475022536054
31-12-2019,31-03-2020,NIACL.NS,-5.911528794452185
31-12-2019,31-03-2020,OMKARCHEM.NS,122.9166538351117
31-12-2019,31-03-2020,OMMETALS.NS,31.40495138231541
31-12-2019,31-03-2020,PATINTLOG.NS,100.48077489313249
31-12-2019,31-03-2020,PDSMFL.NS,-1.76678445229682
31-12-2019,31-03-2020,PFOCUS.NS,-14.003294716908302
31-12-2019,31-03-2020,PSL.NS,116.66665010982156
31-12-2019,31-03-2020,RAIN.NS,42.89642170202633
31-12-2019,31-03-2020,RMCL.NS,74.54546148126776
31-12-2019,31-03-2020,RNAVAL.NS,61.290327542530406
31-12-2019,31-03-2020,SADBHAV.NS,70.55555272985387
31-12-2019,31-03-2020,SANGHVIFOR.NS,15.107916828070902
31-12-2019,31-03-2020,SELMCL.NS,128.57143586995662
31-12-2019,31-03-2020,SHIVAMAUTO.NS,89.1891891891892
31-12-2019,31-03-2020,SKFINDIA.NS,14.846363666903509
31-12-2019,31-03-2020,SKMEGGPROD.NS,8.319467765299507
31-12-2019,31-03-2020,TECHNOFAB.NS,151.57894335295026
31-12-2019,31-03-2020,TIDEWATER.NS,30.69027109135697
31-12-2019,31-03-2020,UNITECH.NS,76.00000381469727
31-12-2019,31-03-2020,UNIVCABLES.NS,49.30904617135218
31-12-2019,31-03-2020,VESUVIUS.NS,21.217424234737532
31-12-2019,31-03-2020,VINDHYATEL.NS,70.60674431618679
31-12-2019,31-03-2020,XCHANGING.NS,42.222219800192214
31-03-2020,30-06-2020,20MICRONS.NS,-16.1383292747667
31-03-2020,30-06-2020,3IINFOTECH.NS,11.111109148818315
31-03-2020,30-06-2020,3MINDIA.NS,-3.935075811577901
31-03-2020,30-06-2020,5PAISA.NS,56.30915531494788
31-03-2020,30-06-2020,A2ZINFRA.NS,-25.43859399623516
31-03-2020,30-06-2020,AARTIDRUGS.NS,136.48638892266538
31-03-2020,30-06-2020,AARTIIND.NS,9.51768357909633
31-03-2020,30-06-2020,AARVEEDEN.NS,-12.0
31-03-2020,30-06-2020,ABAN.NS,-24.371069767095932
31-03-2020,30-06-2020,ABB.NS,-7.09277238403452
31-03-2020,30-06-2020,ABBOTINDIA.NS,2.643100989511259
31-03-2020,30-06-2020,ABCAPITAL.NS,-2.710847907219211
31-03-2020,30-06-2020,ABFRL.NS,2.063870156730588
31-03-2020,30-06-2020,ABMINTLTD.NS,44.230769230769226
31-03-2020,30-06-2020,ACC.NS,6.3727783769576565
31-03-2020,30-06-2020,ACCELYA.NS,12.157254298774737
31-03-2020,30-06-2020,ACE.NS,23.822459292446922
31-03-2020,30-06-2020,ADANIPORTS.NS,-1.2936081997183868
31-03-2020,30-06-2020,ADANIPOWER.NS,1.0884395262011055
31-03-2020,30-06-2020,ADANITRANS.NS,-7.613092097428634
31-03-2020,30-06-2020,ADFFOODS.NS,48.637926825161635
31-03-2020,30-06-2020,ADHUNIKIND.NS,-21.48760578100013
31-03-2020,30-06-2020,ADORWELD.NS,-5.940027621868795
31-03-2020,30-06-2020,ADSL.NS,42.59258823194206
31-03-2020,30-06-2020,ADVANIHOTR.NS,-4.606739858563027
31-03-2020,30-06-2020,ADVENZYMES.NS,72.25714983258928
31-03-2020,30-06-2020,AEGISCHEM.NS,29.631633336766424
31-03-2020,30-06-2020,AGARIND.NS,30.488645644403434
31-03-2020,30-06-2020,AGCNET.NS,20.374147583838223
31-03-2020,30-06-2020,AHLUCONT.NS,15.658024294601635
31-03-2020,30-06-2020,AHLWEST.NS,2.2014902598822292
31-03-2020,30-06-2020,AIAENG.NS,6.445042811838089
31-03-2020,30-06-2020,AJANTPHARM.NS,11.527392207198698
31-03-2020,30-06-2020,AKSHARCHEM.NS,11.421443339892456
31-03-2020,30-06-2020,AKSHOPTFBR.NS,-11.764708357286219
31-03-2020,30-06-2020,AKZOINDIA.NS,11.272869857326826
31-03-2020,30-06-2020,ALANKIT.NS,-7.062146588249138
31-03-2020,30-06-2020,ALBERTDAVD.NS,-1.2554591949763023
31-03-2020,30-06-2020,ALCHEM.NS,6.0606101473648435
31-03-2020,30-06-2020,ALEMBICLTD.NS,35.746307246116146
31-03-2020,30-06-2020,ALICON.NS,33.64542319005229
31-03-2020,30-06-2020,ALKALI.NS,-1.469046674760923
31-03-2020,30-06-2020,ALKEM.NS,17.608799780677934
31-03-2020,30-06-2020,ALKYLAMINE.NS,52.86550620167526
31-03-2020,30-06-2020,ALLCARGO.NS,63.002515687463564
31-03-2020,30-06-2020,ALLSEC.NS,25.280634384360347
31-03-2020,30-06-2020,ALMONDZ.NS,-8.300389476079209
31-03-2020,30-06-2020,ALPA.NS,17.684213738692435
31-03-2020,30-06-2020,ALPSINDUS.NS,-26.470590297738518
31-03-2020,30-06-2020,AMARAJABAT.NS,16.140577323697038
31-03-2020,30-06-2020,AMBIKCO.NS,-1.536165218936428
31-03-2020,30-06-2020,AMBUJACEM.NS,12.789768601452451
31-03-2020,30-06-2020,AMDIND.NS,5.44872026079813
31-03-2020,30-06-2020,AMRUTANJAN.NS,17.989133751910664
31-03-2020,30-06-2020,ANANTRAJ.NS,42.28187715244302
31-03-2020,30-06-2020,ANDHRACEMT.NS,-51.23152713988082
31-03-2020,30-06-2020,ANDHRSUGAR.NS,16.996202360087928
31-03-2020,30-06-2020,ANIKINDS.NS,-5.535055272639999
31-03-2020,30-06-2020,ANSALAPI.NS,-20.83333747254461
31-03-2020,30-06-2020,ANSALHSG.NS,-15.217387473425397
31-03-2020,30-06-2020,ANTGRAPHIC.NS,0.0
31-03-2020,30-06-2020,APARINDS.NS,-13.203594641771147
31-03-2020,30-06-2020,APCL.NS,39.89636673679008
31-03-2020,30-06-2020,APCOTEXIND.NS,15.161292783675655
31-03-2020,30-06-2020,APEX.NS,-6.6001128851313675
31-03-2020,30-06-2020,APLAPOLLO.NS,81.24675007609578
31-03-2020,30-06-2020,APLLTD.NS,9.450302674729318
31-03-2020,30-06-2020,APOLLOHOSP.NS,49.593311717047925
31-03-2020,30-06-2020,APOLLOTYRE.NS,17.86042635914439
31-03-2020,30-06-2020,APOLSINHOT.NS,13.22105006167763
31-03-2020,30-06-2020,APTECHT.NS,13.339878872600707
